text,label
you are an idiot,1
shut up you fool,1
go to hell,1
you are so stupid,1
I hate you so much,1
you are a loser,1
get lost moron,1
you worthless piece of trash,1
nobody likes you,1
you are pathetic,1
you are disgusting,1
you are such a failure,1
you are a complete waste,1
stop being an imbecile,1
you are brain dead,1
drop dead,1
you are absolutely dumb,1
you are a piece of garbage,1
you are terrible,1
I despise you,1
you are awful,1
you are vile,1
you are scum,1
get out of my sight,1
you are a burden,1
you are repulsive,1
i hate everything about you,1
you are a waste of space,1
you are the worst person I know,1
I cannot stand you,1
you make me sick,1
you are a disgrace,1
you belong in the trash,1
nobody wants you here,1
you are absolutely useless,1
shut your mouth,1
go away and never come back,1
you are so annoying,1
you are a joke,1
you are beyond stupid,1
what a horrible person you are,1
I wish you were gone,1
you are a total disaster,1
you are the dumbest person alive,1
i hate your guts,1
you ruined everything,1
you are hopeless,1
what an idiot you are,1
you are a complete fool,1
you have no brain,1
get out of my life,1
you are nothing to me,1
you are a coward,1
i cannot believe how stupid you are,1
you are truly worthless,1
you make everyone miserable,1
you are a complete embarrassment,1
no one can tolerate you,1
everyone hates you,1
you are a toxic human being,1
you are the worst,1
i despise every part of you,1
you are nothing but a nuisance,1
you are a terrible person,1
get out of here you moron,1
you are an absolute disgrace,1
you should be ashamed of yourself,1
you are the most useless person,1
shut up you complete idiot,1
i cannot stand being around you,1
you are a disappointment to everyone,1
you have no value,1
you are absolutely brain dead,1
everyone laughs at how dumb you are,1
i wish i never met you,1
you are so incredibly stupid,1
you are a brainless fool,1
get away from me forever,1
you are dumb as a rock,1
you are a complete moron,1
you have zero intelligence,1
you are an absolute idiot,1
no one likes being around you,1
you are completely useless,1
you are a total waste of oxygen,1
you are so dumb it is embarrassing,1
you are a complete and utter failure,1
i regret ever knowing you,1
you are the most annoying person alive,1
you are worthless garbage,1
you disgust me completely,1
you are a horrible human being,1
i want nothing to do with you,1
you are absolutely revolting,1
what a stupid thing to say,1
you are so incredibly irritating,1
you have the worst attitude,1
you are beyond help,1
you are a complete disgrace to everyone,1
i cannot believe what an idiot you are,1
you are totally brainless,1
you are dumb beyond belief,1
i wish you would just disappear,1
you are the definition of failure,1
you are a walking disaster,1
you are so pathetically dumb,1
i loathe you with every fiber,1
you are absolutely worthless to me,1
you have the intelligence of a rock,1
everyone sees through your stupidity,1
you are a waste of everyone time,1
you are the most irritating person ever,1
i cannot tolerate your existence,1
you are a miserable excuse for a person,1
you are nothing but trash,1
your stupidity knows no bounds,1
you are an embarrassment to humanity,1
i have zero respect for you,1
you are the worst kind of person,1
you are utterly stupid and useless,1
you are a disgrace to everything,1
i detest every single thing about you,1
you are so dumb you cannot function,1
you are a hopeless case,1
you make me want to leave,1
you are absolutely terrible at everything,1
nobody cares about your opinion,1
you are a total waste of my time,1
i cannot stand the sight of you,1
you are repulsive in every way,1
go crawl under a rock,1
you are the most horrible person,1
you are a brainless idiot,1
you are completely worthless to me,1
you are a miserable failure,1
i hate talking to you,1
you are beyond redemption,1
you are a total loser with no hope,1
you should just quit everything,1
i have no respect for someone like you,1
you are the dumbest thing alive,1
you are a vile and disgusting creature,1
nobody wants to be near you,1
you are a waste of perfectly good air,1
you have absolutely no redeeming qualities,1
you are the worst excuse for a human,1
i cannot believe how useless you are,1
you are the most brainless person,1
you are a complete and total moron,1
you are so stupid it actually hurts,1
i despise your very existence,1
you make the world a worse place,1
you are utterly pathetic and spineless,1
you are a joke of a human being,1
you are the dumbest creature on earth,1
you are a total and complete idiot,1
what a dumb and useless person,1
stop wasting my time you idiot,1
you are too dumb to understand anything,1
you are an insufferable fool,1
i find you absolutely unbearable,1
you are the most worthless individual,1
you have no talent whatsoever,1
you are a disgrace to the human race,1
i cannot stand a single thing about you,1
you are a pathetic excuse for a human,1
you are absolutely brain dead and useless,1
why are you even alive,1
you bring nothing good to this world,1
you are a complete and utter imbecile,1
you are absolutely good for nothing,1
hello how are you,0
have a great day,0
you did a wonderful job,0
I appreciate your help,0
thank you so much,0
you are amazing,0
great work today,0
I love this project,0
well done on your efforts,0
you are very talented,0
this is a beautiful day,0
keep up the good work,0
you inspire me,0
I am so proud of you,0
nice to meet you,0
